DATE,Num-CDE,CLIENT_ID,SEX,BIRTH,ID_PROD,PRICE_mensuel, Durée total,CATEG
2021-01-13,773915,130805,F,1965,196567,386,31,0
2021-01-13,773799,133666,M,1965,308005,"309,21",37,0
2021-01-13,774051,161606,M,1965,260986,"230,44",43,0
2021-01-12,821324,176284,M,1958,167910,"334,55",31,0
2021-01-12,816613,155250,F,1971,277032,"484,83",31,0
2021-01-12,795552,146576,F,1996,277952,"375,4",31,0
2021-01-12,801013,156075,F,1992,295544,"522,34",31,0
2021-01-12,821310,176284,M,1971,167910,"334,55",31,0
2021-01-12,798791,207795,M,1996,278699,"242,29",43,0
2021-01-12,824932,162349,F,1993,197582,"281,09",43,0
2021-01-10,790125,176284,M,1973,15220,"439,19",31,0
2021-01-09,801767,163072,M,1964,167713,"292,58",31,0
2021-01-09,808829,162349,M,1964,196534,"414,67",43,0
2021-01-09,817543,146362,M,1968,14925,"782,67",43,0
2021-01-08,791474,176284,F,1988,196569,"353,44",31,0
2021-01-08,818938,170060,F,1980,196565,"454,03",28,0
2021-01-14,776420,151590,M,1971,127704,"400,69",31,0
2021-01-19,777488,162349,M,1966,15114,"585,6",43,0
2021-01-14,765871,207795,M,1976,15194,"455,49",43,0
2021-01-14,776656,162349,M,1963,196536,"351,54",43,0
2021-01-19,755419,152955,M,1991,234344,"152,08",28,0
2021-01-19,773284,203910,M,1976,194670,"294,75",37,0
2021-01-19,776695,162349,M,1962,196626,"228,2",43,0
2021-01-18,773989,161606,M,1965,260976,"232,26",43,0
2021-01-18,763628,176284,M,1968,167086,"245,73",31,0
2021-01-18,779367,224328,F,1970,196672,"290,66",43,0
2021-01-17,776967,224329,F,1967,234252,"168,45",31,0
2021-01-17,768774,176675,M,1965,192989,"287,05",31,0
2021-01-17,768652,176675,M,1973,192989,"287,05",31,0
2021-01-17,766218,163072,M,1982,194693,"412,33",25,0
2021-01-17,768785,176675,M,1971,192989,"287,05",31,0
2021-01-17,775214,176284,M,1966,195115,"190,08",31,0
2021-01-17,774042,161606,M,1965,260976,"257,17",43,0
2021-01-17,766148,176675,M,1966,192127,"369,94",19,0
2021-01-17,768762,176675,M,1965,192989,"287,05",31,0
2021-01-17,779609,156075,F,1977,96558,"464,41",43,0
2021-01-17,775557,130805,M,1972,196556,"453,73",43,0
2021-01-17,772916,203910,M,1966,194670,"341,19",28,0
2021-01-17,768641,176675,M,1972,192127,"426,69",31,0
2021-01-14,776693,162349,M,1968,196536,"348,38",43,0
2021-01-14,773121,144899,M,1964,85374,"396,58",31,0
2021-01-14,756194,160689,M,1988,304783,"491,5",28,0
2021-01-14,772234,207795,M,1991,14591,"374,27",43,0
2021-01-14,767053,152955,M,1965,191283,"262,98",37,0
2021-01-08,786053,162349,M,1979,194666,"263,45",43,0
2021-01-28,776818,152955,M,1965,234372,"215,06",25,0
2021-01-28,779701,161789,M,1971,304783,"493,47",25,0
2021-02-18,773173,144899,M,1969,260980,"450,63",31,0
2021-02-18,774534,176284,M,1972,15085,"360,8",31,0
2021-02-17,776743,201145,M,1971,278105,"1080,21",13,0
2021-02-17,778543,162349,M,1973,195180,"297,88",43,0
2021-02-17,769584,135383,F,1970,294966,"622,48",31,0
2021-02-17,777902,207795,M,1964,15138,"449,14",43,0
2021-02-17,787782,185883,M,1955,277695,"522,04",31,0
2021-02-17,773822,161606,F,1965,261041,"379,2",43,0
2021-02-16,771425,140344,M,1984,167205,"351,07",43,0
2021-02-16,776651,162349,M,1976,196536,"401,07",43,0
2021-02-16,776016,176669,M,1959,15408,"348,34",31,0
2021-02-16,792744,204725,M,1974,312281,"604,08",43,0
2021-02-16,771124,156075,F,1964,14569,"476,29",31,0
2021-02-16,763644,176284,M,1975,167086,"202,28",31,0
2021-02-15,782764,207795,M,1964,14589,"406,21",43,0
2021-02-15,777250,162349,M,1969,196520,"291,74",43,0
2021-02-15,781397,142707,F,1959,167180,"466,27",31,0
2021-02-15,771325,133666,M,1965,307860,"444,77",37,0
2021-02-15,784014,172586,M,1977,127247,"221,22",43,0
2021-02-15,784805,182372,M,1964,312263,"920,7",31,0
2021-02-14,784766,151590,M,1964,127708,"470,55",31,0
2021-02-14,776707,162349,M,1969,12764,"456,56",43,0
2021-02-14,781674,150813,M,1987,35529,"379,47",55,0
2021-02-18,776667,156370,M,1971,196524,"513,49",43,0
2021-02-14,777037,162349,M,1972,196632,"298,46",43,0
2021-02-18,777278,162349,F,1970,14517,"379,28",43,0
2021-02-18,777347,207795,F,1974,277795,"236,97",43,0
2021-02-24,779988,73757,F,1969,235604,"418,56",19,0
2021-02-24,779713,161789,M,1979,278102,"587,66",25,0
2021-02-24,778688,163072,M,1966,167712,"395,75",25,0
2021-02-24,782629,172586,M,1990,127247,"212,09",43,0
2021-02-24,784385,162349,M,1979,196519,"306,39",43,0
2021-02-23,780858,161789,F,1976,278102,"587,66",25,0
2021-02-23,780211,176284,M,1968,195115,"190,08",31,0
2021-02-23,774145,161606,M,1965,260976,"256,07",43,0
2021-02-23,773655,201145,F,1964,261041,"672,29",23,0
2021-02-23,789907,141289,M,1963,167874,"366,56",43,0
2021-02-23,777969,152955,M,1996,235759,"184,04",34,0
2021-02-23,780983,162349,F,1976,196551,"326,51",43,0
2021-02-23,778194,176284,M,1978,15408,"436,81",31,0
2021-02-23,783778,156370,M,1973,96666,"698,44",43,0
2021-02-23,783902,133666,F,1996,35531,"379,88",37,0
2021-02-22,782584,172586,M,1983,127247,"219,97",43,0
2021-02-22,774945,176284,F,1994,15379,"343,82",31,0
2021-02-22,781044,152955,F,2003,235760,"163,58",31,0
2021-02-22,780942,176284,M,1964,15114,"325,95",31,0
2021-02-22,773836,161606,M,1965,260976,"336,25",37,0
2021-02-19,783964,172586,M,1984,127247,"221,22",43,0
2021-02-18,782389,176669,M,1978,196569,"353,13",31,0
2021-02-18,776673,162349,M,1976,14016,"411,4",43,0
2021-02-18,775542,149658,M,1973,277940,"470,4",43,0
2021-01-28,784395,162349,M,1969,195186,"281,98",43,0
2021-02-13,774735,176284,M,1967,15174,"326,26",31,0
2021-02-12,807896,206100,M,1980,295326,"103,99",34,0
2021-02-03,775838,156075,F,1981,35546,"438,06",43,0
2021-02-03,777454,156075,F,1966,196566,"440,62",31,0
2021-02-03,781388,176284,M,1972,308006,"396,31",31,0
2021-02-03,777452,205533,F,1971,14007,"412,16",41,0
2021-02-02,775072,152955,M,1990,191284,"322,8",25,0
